Sample,X(ms) [24.10.0049 10:10:51 348 UTC],CurrentSetpoint[°C],ScaledInput[°C],OutputHeat[%],OutputCool[%]
176,55058.813000,60,64.4856796264648,0.00919628143310547,0
177,55371.360300,60,64.2216415405273,0,0
178,55683.793400,60,64.0444183349609,0,0
179,55996.015300,60,63.8671913146973,0,0
180,56308.460800,60,63.6067695617676,0,0
181,56652.136900,60,63.1727409362793,0,0
182,56995.780100,60,63.1727409362793,0,0
183,57245.914100,60,62.8327598571777,0,0
184,57589.417200,60,62.5759506225586,0,0
185,57870.767000,60,62.4059600830078,0,0
186,58183.507400,60,61.986400604248,0,0
187,58496.131400,60,61.8200187683105,0,0
188,58836.920800,60,61.5704612731934,0,0
189,59118.224700,60,61.4076995849609,0,0
190,59430.748000,60,61.161750793457,0,0
191,59821.059600,60,60.8362312316895,0.135097295045853,0
192,60055.391100,60,60.5938911437988,0.167447403073311,0
193,60399.023400,60,60.4347496032715,0.121791698038578,0
194,60727.286100,60,60.1960411071777,0.29542538523674,0
195,61008.444500,60,60.0368881225586,0.543982326984406,0
196,61305.198900,60,59.6498794555664,1.48191595077515,0
197,61617.512900,60,59.5015907287598,2.22022604942322,0
198,61930.129100,60,59.3569107055664,3.17132711410522,0
199,62289.232400,60,59.1471405029297,4.48006200790405,0
200,62570.388400,60,59.0169296264648,5.66626501083374,0
201,62883.059400,60,58.7203407287598,8.18223667144775,0
202,63179.862700,60,58.619068145752,9.89349746704102,0
203,63492.219000,60,58.4780082702637,11.7673997879028,0
204,63835.717500,60,58.4020500183105,13.6512804031372,0
205,64148.338500,60,58.2971611022949,16.6504993438721,0
206,64445.140700,60,58.2031288146973,19.0237503051758,0
207,64741.954000,60,58.1524887084961,20.9279594421387,0
208,65054.178800,60,58.1380195617676,23.6242694854736,0
209,65366.798500,60,58.1307907104492,25.428560256958,0
210,65679.227200,60,58.1452598571777,27.5609607696533,0
211,66022.730800,60,58.1741905212402,29.7125797271729,0
212,66344.174900,60,58.2646102905273,32.6110992431641,0
213,66625.301500,60,58.3514213562012,34.4887084960938,0
214,66937.763100,60,58.4237594604492,36.350658416748,0
215,67250.059800,60,58.5395011901855,37.9319305419922,0
216,67547.007600,60,58.6299209594727,39.369270324707,0
217,67859.372600,60,58.7311897277832,40.6627998352051,0
218,68171.850800,60,58.88671875,41.6618499755859,0
219,68484.122600,60,59.1760711669922,42.4287986755371,0
220,68796.682300,60,59.2990493774414,43.0004196166992,0
221,69109.014400,60,59.4256401062012,43.550609588623,0
222,69483.874200,60,59.6173286437988,43.7338104248047,0
223,69749.422000,60,59.7475395202637,43.8385314941406,0
224,70046.237400,60,59.9428482055664,43.5587615966797,0
225,70358.705100,60,60.1960411071777,42.8744506835938,0
226,70671.246400,60,60.3841094970703,42.1733818054199,0
227,70983.669500,60,60.5034713745117,41.3830299377441,0
228,71342.803900,60,60.6770782470703,40.3260688781738,0
229,71623.988800,60,60.7855911254883,39.18798828125,0
230,71936.455100,60,61.0315399169922,37.1253509521484,0
231,72233.372900,60,61.1183395385742,35.7373886108398,0
232,72545.729800,60,61.2340888977051,34.2147789001465,0
233,72904.929500,60,61.3028106689453,32.585319519043,0
234,73201.922400,60,61.4366302490234,30.0021991729736,0
235,73482.994100,60,61.4728012084961,28.3595008850098,0
236,73795.454700,60,61.498119354248,26.5242691040039,0
237,74107.934800,60,61.5270500183105,24.7665100097656,0
238,74420.366200,60,61.5306701660156,23.0460891723633,0
239,74779.498500,60,61.5270500183105,21.1587600708008,0
240,75060.645500,60,61.4836502075195,19.4381504058838,0
241,75377.008300,60,61.4330101013184,17.7772903442383,0
242,75689.518800,60,61.3317413330078,15.4519500732422,0
243,75970.589200,60,61.3317413330078,14.5996198654175,0
244,76283.209900,60,61.1725997924805,12.8191795349121,0
245,76595.521200,60,61.0604705810547,11.7615203857422,0
246,76908.061500,60,60.9736709594727,10.7042198181152,0
247,77267.191800,60,60.8832511901855,9.77813911437988,0
248,77563.990600,60,60.7421913146973,9.14853286743164,0
249,77876.467600,60,60.5432586669922,8.47673034667969,0
250,78157.652200,60,60.3877296447754,8.22296714782715,0
251,78470.227300,60,60.2828407287598,8.04298782348633,0
252,78782.507300,60,60.1236991882324,8.15907859802246,0
253,79095.052400,60,60.0188102722168,8.31617164611816,0
254,79407.476000,60,59.7583885192871,8.93394374847412,0
255,79750.990700,60,59.6571197509766,9.41519641876221,0
256,80047.755400,60,59.5124397277832,10.1117095947266,0
257,80360.392800,60,59.4220199584961,11.2338495254517,0
258,80672.740300,60,59.2086181640625,12.4799203872681,0
259,80969.494200,60,59.1362800598145,13.7240295410156,0
260,81281.936100,60,59.0313911437988,14.9001798629761,0
261,81594.502900,60,58.9735298156738,16.2083301544189,0
262,81906.904900,60,58.9228897094727,17.5327205657959,0
263,82219.236700,60,58.8541717529297,19.0149192810059,0
264,82562.789700,60,58.818000793457,20.4009609222412,0
265,82859.805000,60,58.7565116882324,22.5819091796875,0
266,83172.188900,60,58.7492790222168,24.0926303863525,0
267,83468.827200,60,58.7456588745117,25.5029907226563,0
268,83781.291000,60,58.7782096862793,27.3314609527588,0
269,84124.924500,60,58.8035316467285,28.5016098022461,0
270,84421.732400,60,58.8035316467285,29.6023693084717,0
271,84718.745200,60,58.8975715637207,31.2975196838379,0
272,85031.038900,60,58.9445915222168,32.4559898376465,0
